Category,No. of Systems,FUSA,Operational,Dry1_Rice,Dry1_oth,Dry1_tot,Dry2_Rice,Dry2_oth,Dry2_tot,Ddry_Rice,Ddry_oth,Ddry_tot,Wet_Rice,Wet_oth,Wet_tot
NIS,271,"879,102.47","830,900.57","712,511.79","38,056.78","750,568.57","208,373.42","11,066.65","219,440.07","920,885.21","49,123.43","970,008.64","799,428.51","15,258.84","814,687.35"
CIS,"8,453","580,308.94","502,059.15","320,901.96","29,919.26","350,821.22","139,737.22","25,763.13","165,500.35","460,639.18","55,682.39","516,321.57","458,333.84","37,603.06","495,936.90"
Total,8724,"1,459,411.41","1,332,959.72","1,033,413.75","67,976.04","1,101,389.79","348,110.64","36,829.78","384,940.42","1,381,524.39","104,805.82","1,486,330.21","1,257,762.35","52,864.90","1,310,627.25"
